2020/9/3 24時時点
うち重症※6
北 海 道	1803	45519	121	2	1578	104	0
青　  森	35	2087	2	0	32	1	0
岩    手	22	3281	12	0	10	0	0
宮    城	214	8023	22	0	190	2	0
秋　　田	50	1808	4	0	45	0	1
山    形	78	3122	2	1	76	1	1
福    島	172	15380	56	1	116	0	0
茨    城	559	10980	60	3	485	14	0
栃    木	307	23048	22	3	288	1	4
群    馬	463	15070	75	0	357	19	12
埼    玉	4055	112930	531	11	3434	90	0
千    葉	3125	57427	350	10	2712	63	0
東    京	21339	339844	2487	27	18487	365	0
神 奈 川	5177	120358	585	21	4468	124	0
新    潟	145	12999	8	0	137	0	0
富    山	400	9802	68	0	318	25	11
石    川	677	8928	136	2	507	34	0
福    井	238	8457	68	3	160	8	2
山    梨	173	9651	12	1	157	4	0
長    野	280	15156	78	1	206	1	5
岐    阜	563	18548	26	2	527	10	0
静    岡	485	26523	37	2	447	1	0
愛    知	4586	56018	650	18	3865	71	0
三    重	383	10081	47	3	334	2	0
滋    賀	458	9475	70	5	381	7	0
京    都	1493	32485	151	1	1317	25	0
大    阪	8826	140261	956	51	7706	157	7
兵    庫	2308	45700	145	11	2110	53	0
奈    良	526	15262	38	4	481	7	0
和 歌 山	231	8699	3	0	221	4	3
鳥    取	22	4574	0	0	22	0	0
島    根	137	4936	1	0	136	0	0
岡    山	146	7049	4	0	141	0	1
広    島	459	18083	14	0	442	3	0
山    口	178	7077	75	0	103	0	0
徳    島	141	6107	63	2	70	4	4
香    川	82	8521	10	0	71	1	0
愛    媛	114	3847	1	0	107	6	0
高    知	130	3159	18	1	109	3	0
福    岡	4685	41767	802	15	3819	64	0
佐    賀	239	5212	17	0	223	0	1
長    崎	234	15149	16	0	200	3	15
熊    本	534	11756	62	0	450	7	15
大    分	151	13012	14	0	135	2	0
宮    崎	338	8147	23	0	315	1	1
鹿 児 島	368	16129	50	1	302	11	5
沖    縄	2172	25883	371	12	1774	31	0
（その他）※3 149 - 0 - 149 - 0
合計 70,592 1,414,717 7,908 211 61,357 1,356 99
